username,full_text
odankerwin,@worksfess Pantesan gen z kerja 3 bulan udah minta resign pake lanyard aja udah disamain kayak anjing peliharaan
kompasiana,Gen Z dan Transformasi Budaya Perusahaan: Membawa Perubahan ke Tempat Kerja https://t.co/5X3iFWCHsm
bodyrestt,aduh gua eneg bgttt dengerin curhatan sodara gen z yg baru lulus trus kerja bentar resign karena capek pulang ke jogja disuruh berbaur sama orang sana tp gamauuu dan ngerasa di press terus AAKKK itu duit kuliah lu tante tante lu yg bayarin cokkkk 
abditorrry,@convomfs dikit gen z fokus kerja aja nder
skyofsolitude,dulu tahun 2015 camtu kot member sampai kene kerja grab 2 tahun nak tunggu HO placement sebab takde kekosongan. Tapi mungkin sebab zaman pun dah berubah kitorang Gen Z lahir 90an siapa jadi doktor kira hero sekampung anak harapan dunia akhirat.
echlatales,menurut gw ini series ok bgt deh buat orang orang yang pengen engeh ambience awal masuk kerja insightful dan gue bisa relatable. esp buat gen z 
Lida_Lidud,@worksfess Samaaa udah up skill ngikutin gaya kerja gen z dll tetep berakhir di interview
_M_a_n_i_s,@s_yuni_r @119kty @collegemenfess Tapi yg seumuran dg gen Z juga banyak kok Kak. Apalagi yg karyawan2 lulusan SMA SMK dan baru bisa kuliah setelah kerja. Jadi bisa aja ada mahasiswanya yg memang tertarik sambil magang ga menutup kemungkinan. Cuma untuk keterlibatan hal ini belum tau valid tidaknya.
JaxsonDen,Gen z pintar bicara dan banyak omong nya giliran kerja tunjuk-tunjukan. Begitulah pendapat pekerja Konoha.
collegemenfess,[cm] guys ada kah yang mau bantu isi kuesioner penelitian sender? kriteria yang dibutuhin gen z yang kerja secara wfh atau hybrid di jakarta.. tinggalin jejak nanti sender drop linknya di dm. Ada hadiah saldo ewallet juga buat 10 orang yang beruntung TIA 
